Date,Close
01-Jan-2019,10910.1
02-Jan-2019,10792.5
03-Jan-2019,10672.25
04-Jan-2019,10727.35
07-Jan-2019,10771.8
08-Jan-2019,10802.15
09-Jan-2019,10855.15
10-Jan-2019,10821.6
11-Jan-2019,10794.95
14-Jan-2019,10737.6
15-Jan-2019,10886.8
16-Jan-2019,10890.3
17-Jan-2019,10905.2
18-Jan-2019,10906.95
21-Jan-2019,10961.85
22-Jan-2019,10922.75
23-Jan-2019,10831.5
24-Jan-2019,10849.8
25-Jan-2019,10780.55
28-Jan-2019,10661.55
29-Jan-2019,10652.2
30-Jan-2019,10651.8
31-Jan-2019,10830.95
01-Feb-2019,10893.65
04-Feb-2019,10912.25
05-Feb-2019,10934.35
06-Feb-2019,11062.45
07-Feb-2019,11069.4
08-Feb-2019,10943.6
11-Feb-2019,10888.8
12-Feb-2019,10831.4
13-Feb-2019,10793.65
14-Feb-2019,10746.05
15-Feb-2019,10724.4
18-Feb-2019,10640.95
19-Feb-2019,10604.35
20-Feb-2019,10735.45
21-Feb-2019,10789.85
22-Feb-2019,10791.65
25-Feb-2019,10880.1
26-Feb-2019,10835.3
27-Feb-2019,10806.65
28-Feb-2019,10792.5
01-Mar-2019,10863.5
05-Mar-2019,10987.45
06-Mar-2019,11053
07-Mar-2019,11058.2
08-Mar-2019,11035.4
11-Mar-2019,11168.05
12-Mar-2019,11301.2
13-Mar-2019,11341.7
14-Mar-2019,11343.25
15-Mar-2019,11426.85
18-Mar-2019,11462.2
19-Mar-2019,11532.4
20-Mar-2019,11521.05
22-Mar-2019,11456.9
25-Mar-2019,11354.25
26-Mar-2019,11483.25
27-Mar-2019,11445.05
28-Mar-2019,11570
29-Mar-2019,11623.9
01-Apr-2019,11669.15
02-Apr-2019,11713.2
03-Apr-2019,11643.95
04-Apr-2019,11598
05-Apr-2019,11665.95
08-Apr-2019,11604.5
09-Apr-2019,11671.95
10-Apr-2019,11584.3
11-Apr-2019,11596.7
12-Apr-2019,11643.45
